topic,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,carnegie_group,carnegie_tag
78,0.00230062132889650374,0.0019767445135512590605,0.0023221387884349582443,0.0025321628940093551598,0.0023270172174085618056,0.002303008559227965569,0.0023631624315590673888,0.0023093436781092077615,Top10CR_Q,"(0.16, 0.19)"
79,0.0010348027995844719445,0.00085019390088216304484,0.0009602717951190159923,0.00079592737140771858375,0.00092656798217374774115,0.00094028963886933617805,0.000830898191506915968,0.00084211225380702345045,Top10CR_Q,"(0.16, 0.19)"
80,0.010401250565964607678,0.01021941563084346388,0.010605852303468693341,0.007899090140865154671,0.013121527456278728535,0.0130116740134154986915,0.012470347732780182056,0.012543688330220120394,Top10CR_Q,"(0.16, 0.19)"
81,0.0022691223686233253431,0.002306740070638789454,0.0024410236115337404262,0.0023347666484241597127,0.0016179332158263449666,0.0013756947277730923224,0.0014431134807857660545,0.0013009395282074250374,Top10CR_Q,"(0.16, 0.19)"
82,0.0030064717217016499678,0.002583410987461673142,0.0028653433572871425712,0.0035491459522654635037,0.002965730940850942635,0.0032093814752370387888,0.0028708975596803772576,0.0033015154206961848361,Top10CR_Q,"(0.16, 0.19)"
83,0.0018099238246181768951,0.0024372304210163499396,0.0018713673986898216199,0.0018138564615705632405,0.0016874210859734780557,0.0021503519835003155513,0.0018342202092980308999,0.0021469831209639458224,Top10CR_Q,"(0.16, 0.19)"
84,0.003549535058061213036,0.0035731633961539975058,0.0034851605782399999152,0.0026388673991468198043,0.0035510873938116599155,0.0032333856424636525321,0.0036786773207134600284,0.003584706291841316357,Top10CR_Q,"(0.16, 0.19)"
85,0.009253154695142991701,0.008184292744634944231,0.009377429601087077797,0.007157067232534768078,0.010334987848948247166,0.009323793875863344302,0.01044832916563239297,0.010584384495094470151,Top10CR_Q,"(0.16, 0.19)"
86,0.0022898709048705924134,0.0017303792258852086319,0.0022488724232356386458,0.0024414996145991698484,0.0019454364596526170584,0.0016370781616732653618,0.0019220950838142415998,0.001622511694715130843,Top10CR_Q,"(0.16, 0.19)"
87,0.006089614902230616939,0.008734846762549044946,0.006394463727298777504,0.009475697239300896555,0.0064638852904611046973,0.011549518470149168251,0.007009062235875592546,0.007362035720212475624,Top10CR_Q,"(0.16, 0.19)"
88,0.0033271236790563260995,0.0039208066623715256613,0.003422592809878928892,0.0033112533645093122229,0.0040207424992116383635,0.004541860685340656432,0.0040880221480700771214,0.0041183465505414962565,Top10CR_Q,"(0.16, 0.19)"
89,0.0059366198637727905273,0.0062495631248030135275,0.006108252876392699641,0.0068331861546923136086,0.005174583292244493135,0.004658053576394773159,0.0053477366295718905105,0.00593237460254575912,Top10CR_Q,"(0.16, 0.19)"
90,0.0046720310995150204135,0.0052111341059763953205,0.0043674229852814490476,0.0035380012233630367466,0.0053950433402620077273,0.0052829779000220534953,0.0054863825336521445997,0.0043562018894183639653,Top10CR_Q,"(0.16, 0.19)"
91,0.0017721376448322497303,0.0016178706577819781608,0.0017495982229227877081,0.0018133783847716868862,0.0017204599209320715581,0.0016208068239232960187,0.0018003806530928640805,0.0018076031835101644278,Top10CR_Q,"(0.16, 0.19)"
92,0.008975117335639112231,0.008911556920834184828,0.0094287101996418619404,0.0070399623959275176847,0.015299760694051875473,0.014018800277077350648,0.0148302336468253493484,0.010039028516526733505,Top10CR_Q,"(0.16, 0.19)"
93,0.004444666850796736791,0.0044299164228336042785,0.0042680741178774987175,0.0044767850084980383233,0.0025365465537515043864,0.002140717597996549783,0.0024621780263760297541,0.0026121453377374993662,Top10CR_Q,"(0.16, 0.19)"
94,0.0016670090998337640754,0.0014121949262097431778,0.0016099766834815508017,0.0014658503950518729835,0.0017714934714642106394,0.0013307000240965679061,0.0015732475480055044075,0.00153952465534404365,Top10CR_Q,"(0.16, 0.19)"
95,0.012007616382509482809,0.011743128977678939632,0.012426586711355938239,0.0095820899059690983255,0.020127364736985688312,0.018484795620204772992,0.019692199984811690281,0.016664963895390322595,Top10CR_Q,"(0.16, 0.19)"
96,0.0020156406656863611547,0.0018927281306310266711,0.002035736186857663215,0.0015738250665612065858,0.0020496827970810680337,0.0016775345530505106583,0.002045212158702709178,0.0018672955720416227949,Top10CR_Q,"(0.16, 0.19)"
97,0.0013098543450828204402,0.0012183536635433193717,0.0012274548407694073294,0.001253088918552265784,0.0013254810549493233393,0.0013337348070157836388,0.0012996292108995712733,0.0013039763975100266264,Top10CR_Q,"(0.16, 0.19)"
98,0.0025874929062919425315,0.0023329932741389414987,0.0023102777328733996942,0.0018623335413714972522,0.0026411208604271537759,0.002298581252694504663,0.002515870508643745652,0.0019992936904209321566,Top10CR_Q,"(0.16, 0.19)"
99,0.0011825515396529846895,0.0015904311058787773057,0.0011498431515213843329,0.00123426989513209667,0.0011763495867924150709,0.0010783077967455937028,0.0012500359520625061866,0.0011190452494798786893,Top10CR_Q,"(0.16, 0.19)"
100,0.009790828884113859383,0.0065146450431116855575,0.008660033226047773259,0.011637385741067312613,0.007833890157169937325,0.0058198459123242944887,0.008012956563003781021,0.008828304097818380138,Top10CR_Q,"(0.16, 0.19)"
101,0.0014416989218204954575,0.0016631670544244654024,0.0014222839980638962515,0.0012833327208611304458,0.0013839020101244365478,0.0011584943154027359603,0.0014373895034672508462,0.0014005639086990232061,Top10CR_Q,"(0.16, 0.19)"
