carnegie_group,carnegie_tag,topic,expected_dist
r1,not R1,166,0.22201340520810955494
r1,R1,167,0.777904399663853304
r1,not R1,167,0.22209560033614660039
r1,R1,168,0.7781239667702505457
r1,not R1,168,0.22187603322974952489
r1,R1,169,0.77800389614140881924
r1,not R1,169,0.22199610385859117174
r1,R1,170,0.77818358357408651553
r1,not R1,170,0.22181641642591343204
r1,R1,171,0.77818927531424013627
r1,not R1,171,0.22181072468575982615
r1,R1,172,0.77809958906775233365
r1,not R1,172,0.22190041093224771715
r1,R1,173,0.7779951050640105805
r1,not R1,173,0.22200489493598945593
r1,R1,174,0.7781594951185534212
r1,not R1,174,0.2218405048814466795
r1,R1,175,0.77790183178589468325
r1,not R1,175,0.22209816821410536123
r1,R1,176,0.7779916456000547566
r1,not R1,176,0.22200835439994517098
r1,R1,177,0.7780273759121128885
r1,not R1,177,0.22197262408788709509
r1,R1,178,0.77809862338017949003
r1,not R1,178,0.22190137661982056575
r1,R1,179,0.7779170170002303925
r1,not R1,179,0.22208298299976956279
r1,R1,180,0.7780323852979539825
r1,not R1,180,0.22196761470204594574
r1,R1,181,0.7778910472534985781
r1,not R1,181,0.22210895274650151511
r1,R1,182,0.7780331300551963759
r1,not R1,182,0.22196686994480356678
r1,R1,183,0.7779396479063325875
r1,not R1,183,0.22206035209366744985
r1,R1,184,0.7780268930167723317
r1,not R1,184,0.22197310698322768996
r1,R1,185,0.77800490366449569224
r1,not R1,185,0.2219950963355043582
r1,R1,186,0.7779220138890796042
r1,not R1,186,0.22207798611092032602
r1,R1,187,0.7780560497762208056
r1,not R1,187,0.22194395022377918292
r1,R1,188,0.7780469795111128504
r1,not R1,188,0.22195302048888713802
r1,R1,189,0.7780506281665770691
r1,not R1,189,0.22194937183342297636
r1,R1,190,0.77801609810914758276
r1,not R1,190,0.2219839018908524809
r1,R1,191,0.77817060160053583685
r1,not R1,191,0.22182939839946422221
r1,R1,192,0.7780210433848776665
r1,not R1,192,0.22197895661512245143
r1,R1,193,0.7780973167043380947
r1,not R1,193,0.22190268329566189019
r1,R1,194,0.7781211889448762997
r1,not R1,194,0.2218788110551237457
r1,R1,195,0.7781002040943933221
r1,not R1,195,0.22189979590560674674
