hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,categories,metric,inst_group
-0.007075866190315305,-0.005995099186834829,0.07785470244347525,-0.015313499949251796,-0.02891558464361421,-0.028573405190098877,0.05740752651632408,"(0.1, 1.24)",norm_FI_2,avg_citations_Q10
-0.024800251669176543,-0.004395697364710682,0.0492665155279981,-0.00912644586200917,-0.011247118328281958,-0.015701958368778635,0.03301977123021538,"(1.24, 1.34)",norm_FI_2,avg_citations_Q10
-0.008013581848606344,-0.012963115129565606,0.0417022522874686,-0.02354847432552154,-0.017785866497571634,-0.04155441039620933,0.013888377641640082,"(1.34, 1.43)",norm_FI_2,avg_citations_Q10
-0.0337195808268862,-0.015366401613657987,0.0006171554711227323,-0.027615432743903434,-0.04641125529943091,-0.04057639180373496,-0.005674100479188704,"(1.43, 1.54)",norm_FI_2,avg_citations_Q10
-0.02643760620882285,0.0006282258297878318,-0.0014749403416697282,-0.031397642747349686,-0.03179986047266725,-0.04515813406462965,-0.003924241027334241,"(1.54, 1.59)",norm_FI_2,avg_citations_Q10
-0.023634602589082565,-0.015638257198525518,0.059318128028760686,-0.028260247421284745,-0.03863418880422309,-0.04286810690773879,0.02009841156095926,"(1.59, 1.66)",norm_FI_2,avg_citations_Q10
-0.00015833018413757838,-0.00314637264147688,0.0227633456515548,-0.04450280355416847,-0.04750789979089998,-0.057855123236024486,-0.00991186008803624,"(1.66, 1.81)",norm_FI_2,avg_citations_Q10
-0.005211665019988376,-0.019160453130070865,0.021505151954218427,-0.05724739368713794,-0.05618926976919281,-0.0852551406443337,-0.031057129242821335,"(1.82, 1.91)",norm_FI_2,avg_citations_Q10
0.00795303454545171,-0.007935929459113145,0.03952543996533642,-0.06447670949314988,-0.07153430281145756,-0.07360490341305304,0.0015175733901691135,"(1.91, 2.15)",norm_FI_2,avg_citations_Q10
-0.004577694003980781,-0.0179881448518322,0.04733161503380279,-0.04748402833493515,-0.08534292524511555,-0.04477931146080183,0.010656737178163178,"(2.17, 4.07)",norm_FI_2,avg_citations_Q10
